sample_id	age	genotype	new_annotation	entropy
032b	14mos	Bcl6tg/+	13_Early exhausted CTLs	2.04319187054512
032b	14mos	Bcl6tg/+	1_CM/EM	1.78870626172295
032b	14mos	Bcl6tg/+	3_Activated CTLs	3.17073311251592
032b	14mos	Bcl6tg/+	2_Exhausted CTLs	4.02683303007902
032b	14mos	Bcl6tg/+	5_Other	2.30258509299405
032b	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	2.19722457733622
032b	14mos	Bcl6tg/+	9_Non-exhausted effectors	1.47507631105469
032b	14mos	Bcl6tg/+	7_CM/EM	1.03972077083992
032b	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	2.40364041061495
032b	14mos	Bcl6tg/+	4_Naïve	NA
032b	14mos	Bcl6tg/+	0_Naïve	NA
032b	14mos	Bcl6tg/+	11_Cycling	2.07944154167984
036	14mos	Bcl6tg/+	1_CM/EM	3.49454437094994
036	14mos	Bcl6tg/+	2_Exhausted CTLs	2.65932269770952
036	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	1.6094379124341
036	14mos	Bcl6tg/+	11_Cycling	1.09861228866811
036	14mos	Bcl6tg/+	6_CM/EM	1.94591014905531
036	14mos	Bcl6tg/+	4_Naïve	1.6094379124341
036	14mos	Bcl6tg/+	0_Naïve	1.38629436111989
036	14mos	Bcl6tg/+	3_Activated CTLs	2.484906649788
036	14mos	Bcl6tg/+	9_Non-exhausted effectors	1.6094379124341
036	14mos	Bcl6tg/+	7_CM/EM	2.484906649788
036	14mos	Bcl6tg/+	13_Early exhausted CTLs	NA
036	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
036	14mos	Bcl6tg/+	5_Other	1.09861228866811
083	14mos	Bcl6tg/+	13_Early exhausted CTLs	0.72012488127181
083	14mos	Bcl6tg/+	1_CM/EM	0.269869622239392
